entity1,entity2,measure_agm,measure_aml,measure_dome,measure_fcamap,measure_logmap,measure_logmapbio,measure_logmaplt,measure_pomap++,measure_wiktionary
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Mucosa_of_tympanic_membrane,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Tympanic_Epithelium,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Myocardial_zone_15a,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Samarium_153,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Depressor_labii_inferioris,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#CTCAE_Grade_3_Somnolence_and_Depressed_Level_of_Consciousness,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Serum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Serum_Creatinine_Measurement,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cochlear_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cochlear_Nerve,1.0,0.9801,,1.0,0.73,0.73,1.0,,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lamina_lucida,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Micro_Array_Data,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Left_sphenoparietal_sinus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sphenoparietal_Sinus,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ventral_corticospinal_tract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Direct_Pyramidal_Tract,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Multiform_layer_of_cerebral_cortex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#PLAG1_wt_Allele,1.0,,,,,,,,
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tubal_extremity_of_ovary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Tubal_Diverticulosis,1.0,,,,,,,,
