entity1,entity2,measure
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Primitive_erythroblast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Basophilic_Erythroblast,0.75
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Totipotent_neuroepithelial_stem_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Totipotent_Neuroepithelial_Stem_Cell,0.66
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Axillary_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Axillary_Nerve,0.57
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Brachiocephalic_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Innominate_Artery,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Pulmonary_acinus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pulmonary_Lobule,0.46
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Papillary_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Papillary_Muscle,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Fetal_heart,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Fetal_Heart,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Endometrium,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Endometrium,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Osteoclast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Osteoclast,0.65
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Alveolar_sac,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Alveolar_Sac,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Extensor_digitorum_longus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Extensor_Digitorum_Longus,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Coronary_sinus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Coronary_Sinus,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Thyrotropin_releasing_factor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Protirelin,0.13
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Third_ventricle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Third_Ventricle_of_Brain,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_trabeculae_of_lymph_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lymph_Node_Trabecula,0.48
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Outer_nuclear_membrane,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nuclear_Outer_Membrane,0.61
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_hamstring_muscles,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hamstring,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ulna,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ulna,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Nasolacrimal_duct,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nasolacrimal_Duct,0.65
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Eosinophil,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Eosinophil,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Surface,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Surface,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Quadratus_lumborum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Quadratus_Lumborum,0.66
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hippocampus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hippocampus,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Middle_cerebral_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Middle_Cerebral_Artery,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Selectin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Selectin,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Intermediate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Intermediate,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Celiac_trunk,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Coeliac_Artery,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Phalanx_of_finger,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hand_Phalanx,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Left_renal_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Left_Renal_Artery,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Trochlear_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Trochlear_Nerve,0.58
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#First_sacral_vertebra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#S1_Vertebra,0.68
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Nose,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nose,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_duodenal_glands,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Brunner_s_Gland,0.57
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Capsule_of_lens,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lens_Capsule,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Medial_vestibular_nucleus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Medial_Vestibular_Nucleus,0.7
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Metanephros,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Metanephros,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anterior_surface_of_prostate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Anterior_Surface_of_the_Prostate,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lysine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lysine,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cymba_conchae_of_pinna,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cymba_Conchae,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Caudate_nucleus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Caudate_Nucleus,0.58
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_renal_vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Right_Renal_Vein,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cystic_duct,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cystic_Duct,0.73
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Internal_carotid_nerve_plexus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Internal_Carotid_Nerve_Plexus,0.61
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cephalic_vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cephalic_Vein,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Parasternal_lymph_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Internal_Mammary_Lymph_Node,0.68
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Plasma_membrane,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cellular_Membrane,0.91
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Glial_fibrillar_acidic_protein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Glial_Fibrillary_Acidic_Protein,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Orbicularis_oculi,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Orbicularis_Oculi,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#APUD_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#APUD_Cell,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Thymus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Thymus_Gland,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Middle_phalanx_of_finger,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Middle_Phalanx_of_the_Hand,0.61
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superficial_circumflex_iliac_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Superficial_Circumflex_Iliac_Artery,0.57
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Zygomatic_arch,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Zygomatic_Arch,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Inferior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inferior,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Insulin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Insulin,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cardiac_nerve_plexus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cardiac_Nerve_Plexus,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Primary_hair,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lanugo,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sigmoid_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sigmoid_Artery,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Pancreatic_centro_acinar_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pancreatic_Centroacinar_Cell,0.74
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sixth_thoracic_vertebra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#T6_Vertebra,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_surface_of_liver,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Superior_Surface_of_the_Liver,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sphincter_of_hepatopancreatic_ampulla,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sphincter_of_Oddi,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Free_ribosome,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Free_Ribosome,0.79
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Corpus_callosum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Corpus_Callosum,0.6
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cerebrospinal_fluid,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cerebrospinal_Fluid,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Xylose,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Xylose,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Rib,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Rib,0.6
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Palatine_salivary_gland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Palatine_Salivary_Gland,0.69
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Thigh,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Thigh,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lobe_of_prostate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Prostate_Gland_Lobe,0.65
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_subarachnoid_cisterns,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Subarachnoid_Cistern,0.49
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Common_palmar_digital_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Common_Palmar_Digital_Artery,0.6
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Broad_ligament_of_uterus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Broad_Ligament,0.49
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Parotid_gland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Parotid_Gland,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#White_adipose_tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#White_Adipose_Tissue,0.71
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Retina,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Retina,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#T_helper_cell_type_2,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Type_2_Helper_Cell,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lateral_geniculate_body,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#External_Geniculate_Body,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Gastric_gland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Fundic_Gland,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Prostatic_utricle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Prostatic_Utricle,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Male_urethra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Male_Urethra,0.7
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Suppressor_effector_T_lymphocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Suppressor-Effector_T-Lymphocyte,0.6
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Mast_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mast_Cell,0.6
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Genital_system,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Genital,0.41
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Triceps_surae,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triceps_Surae,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_genital_systems,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Genital,0.4
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#External_ear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#External_Ear,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Inferior_mesenteric_vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inferior_Mesenteric_Vein,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Corpus_luteum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Corpus_Luteum,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Vastus_lateralis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vastus_Lateralis,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Fifth_sacral_vertebra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#S5_Vertebra,0.68
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cuboid_bone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cuboid_Bone,0.61
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Totipotent_stem_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Totipotent_Stem_Cell,0.65
