name,classifier_name,f1_score,acc_test,recall_test,best_params
anatomy-lb,GradientBoostingClassifier,0.782908139,0.89490244,0.765459029,"{'learning_rate': 0.01, 'n_estimators': 150}"
anatomy-lb,AdaBoostClassifier,0.732002679,0.882563573,0.647809181,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
anatomy-lb,LogisticRegression,0.73840158,0.884946817,0.655870637,"{'C': 0.1, 'tol': 0.01}"
anatomy-lb,DecisionTreeClassifier,0.201086258,0.41630468,0.296709029,{'criterion': 'entropy'}
lb1-lb23,AdaBoostClassifier,0.747570234,0.879607191,0.681624737,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
lb1-lb23,LogisticRegression,0.755733612,0.881452885,0.701179766,"{'C': 1, 'tol': 0.01}"
lb1-lb23,GradientBoostingClassifier,0.694408067,0.868490757,0.571297743,"{'learning_rate': 0.01, 'n_estimators': 150}"
lb1-lb23,DecisionTreeClassifier,0.701635755,0.869448828,0.586920218,{'criterion': 'entropy'}
lb-cf,LogisticRegression,0.659574468,0.738241309,0.708571429,"{'C': 0.5, 'tol': 0.01}"
lb-cf,AdaBoostClassifier,0.659517426,0.740286299,0.702857143,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
lb-cf,GradientBoostingClassifier,0.650918635,0.72801636,0.708571429,"{'learning_rate': 0.1, 'n_estimators': 150}"
lb-cf,DecisionTreeClassifier,0.650918635,0.72801636,0.708571429,{'criterion': 'gini'}
lb-anatomy,LogisticRegression,0.10906785,0.219010561,0.058703072,"{'C': 0.5, 'tol': 0.01}"
lb-anatomy,AdaBoostClassifier,0.104993598,0.222901612,0.055972696,"{'base_estimator': LogisticRegression(), 'n_estimators': 150}"
lb-anatomy,GradientBoostingClassifier,0.867728788,0.80155642,0.799317406,"{'learning_rate': 0.2, 'n_estimators': 200}"
lb-anatomy,DecisionTreeClassifier,0.954331766,0.924402446,0.96996587,{'criterion': 'gini'}
lb3-lb12,GradientBoostingClassifier,0.710460206,0.853847399,0.897622907,"{'learning_rate': 0.01, 'n_estimators': 200}"
lb3-lb12,AdaBoostClassifier,0.751215767,0.895100367,0.792814695,"{'base_estimator': LogisticRegression(), 'n_estimators': 150}"
lb3-lb12,DecisionTreeClassifier,0.709766601,0.852714224,0.901539708,{'criterion': 'entropy'}
lb3-lb12,LogisticRegression,0.71219987,0.856410533,0.889384117,"{'C': 0.1, 'tol': 0.01}"
lb2-lb13,AdaBoostClassifier,0.789211416,0.902930227,0.698624221,"{'base_estimator': LogisticRegression(), 'n_estimators': 50}"
lb2-lb13,LogisticRegression,0.79234785,0.902978368,0.711641681,"{'C': 0.1, 'tol': 0.01}"
lb2-lb13,GradientBoostingClassifier,0.794170219,0.903909108,0.712690481,"{'learning_rate': 0.01, 'n_estimators': 200}"
lb2-lb13,DecisionTreeClassifier,0.784288209,0.898918416,0.706459374,{'criterion': 'gini'}
